mode,with_seqs,threads,region_length,batch_size,buffer_bytes,n_epochs,instances,bytes,wall_s,instances_per_s,MiB_per_s,peak_rss_MiB,timed_out,git_sha,host,started_at,cpu_brand,cpu_microarch,logical_cpus
double_buffered,variants,1,10000,16,67108864,231,115500,31637067,1.5062737456755713,76679.28909442532,20.030527871141828,0.0,False,596edea,Davids-MacBook-Pro.local,2026-05-29T14:13:58,Apple M4 Pro,Apple M4 Pro (arm64),14
double_buffered,variants,1,10000,16,536870912,230,115000,31500110,1.5066269198432565,76329.44724760669,19.93914052332014,0.0,False,596edea,Davids-MacBook-Pro.local,2026-05-29T14:13:58,Apple M4 Pro,Apple M4 Pro (arm64),14
double_buffered,variants,1,10000,128,67108864,308,154000,42182756,1.5024635357549414,102498.32780309026,26.775099717956223,0.0,False,596edea,Davids-MacBook-Pro.local,2026-05-29T14:13:58,Apple M4 Pro,Apple M4 Pro (arm64),14
double_buffered,variants,1,10000,128,536870912,281,140500,38484917,1.5039836245123297,93418.57032888736,24.4032423716229,0.0,False,596edea,Davids-MacBook-Pro.local,2026-05-29T14:13:58,Apple M4 Pro,Apple M4 Pro (arm64),14
,variants,1,1000,16,,19,9500,369626,1.5619064999045804,6082.310305117734,0.2256875318064888,0.0,False,596edea,Davids-MacBook-Pro.local,2026-05-29T14:13:58,Apple M4 Pro,Apple M4 Pro (arm64),14
,variants,1,1000,128,,148,74000,2879192,1.5054689969401807,49154.11752111981,1.8238910718076033,0.0,False,596edea,Davids-MacBook-Pro.local,2026-05-29T14:13:58,Apple M4 Pro,Apple M4 Pro (arm64),14
,variants,1,10000,16,,19,9500,2602183,1.5041958339279518,6315.667006730344,1.6498085141005854,0.0,False,596edea,Davids-MacBook-Pro.local,2026-05-29T14:13:58,Apple M4 Pro,Apple M4 Pro (arm64),14
,variants,1,10000,128,,142,71000,19447894,1.5040753306820989,47205.08245275286,12.331135706866595,0.0,False,596edea,Davids-MacBook-Pro.local,2026-05-29T14:13:58,Apple M4 Pro,Apple M4 Pro (arm64),14
buffered,haplotypes,2,5000,64,268435456,156,78000,779884560,1.5066967038437724,51768.8794307522,493.6334384593624,76016.0,False,596edea,Davids-MacBook-Pro.local,2026-05-29T14:13:58,Apple M4 Pro,Apple M4 Pro (arm64),14
double_buffered,haplotypes,2,5000,64,268435456,105,52500,524922300,1.5138896650169045,34678.881303687194,330.6746371198106,0.0,False,596edea,Davids-MacBook-Pro.local,2026-05-29T14:13:58,Apple M4 Pro,Apple M4 Pro (arm64),14
,haplotypes,2,5000,64,,75,37500,374944500,1.5183113786624745,24698.49105197042,235.50830531401377,9936.0,False,596edea,Davids-MacBook-Pro.local,2026-05-29T14:13:58,Apple M4 Pro,Apple M4 Pro (arm64),14
buffered,annotated,2,5000,64,268435456,33,16500,1484780220,1.5471327921841294,10664.88932517971,915.2393178371073,8928.0,False,596edea,Davids-MacBook-Pro.local,2026-05-29T14:13:58,Apple M4 Pro,Apple M4 Pro (arm64),14
double_buffered,annotated,2,5000,64,268435456,28,14000,1259813520,1.5186527527403086,9218.697279373395,791.130029769749,0.0,False,596edea,Davids-MacBook-Pro.local,2026-05-29T14:13:58,Apple M4 Pro,Apple M4 Pro (arm64),14
